"filename", "language", "C++", "CMake", "C", "JSON", "CMake Cache", "Dart", "Markdown", "YAML", "XML", "Swift", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\.cmake\api\v1\reply\toolchains-v1-9c2ee139275c2eb46eb8.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 383
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CMakeCXXCompiler.cmake", "CMake", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 92
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CMakeRCCompiler.cmake", "CMake", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CMakeSystem.cmake", "CMake", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\CMakeFiles\3.20.21032501-MSVC_2\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 123, 735
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\CMakeFiles\ShowIncludes\foo.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\CMakeFiles\ShowIncludes\main.c", "C", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\cmake_install.cmake", "CMake", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 143
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\flutter\cmake_install.cmake", "CMake", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\plugins\flutter_webrtc\cmake_install.cmake", "CMake", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\out\build\x64-Debug\runner\cmake_install.cmake", "CMake", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 963, 315, 2, 3554, 311, 2723, 13, 33, 133, 12, 80, 88, 8, 399, 817, 9451
